Date,Price
2017-01-02,100.0
2017-01-03,100.99342830602247
2017-01-04,100.71415259027017
2017-01-05,102.01878063541501
2017-01-06,105.12633361185657
2017-01-09,104.63401989610642
2017-01-10,104.14404607586974
2017-01-11,107.43335832030586
2017-01-12,109.08232012519647
2017-01-13,108.05809302005375
2017-01-16,109.23065309322926
2017-01-17,108.21826474841201
2017-01-18,107.21025543295045
2017-01-19,107.72907217174507
2017-01-20,103.60675406051479
2017-01-23,100.03249130755931
2017-01-24,98.90755085993638
2017-01-25,96.90401794899631
2017-01-26,97.51305453216105
2017-01-27,95.74217050830475
2017-01-30,93.03783007264968
2017-01-31,95.76504569483193
2017-02-01,95.33261614017387
2017-02-02,95.46136894849685
2017-02-03,92.74120070324037
2017-02-06,91.73146655294903
2017-02-07,91.93496838950776
2017-02-08,89.81863722637084
2017-02-09,90.49353090669996
2017-02-10,89.40645258970142
2017-02-13,88.88486652146932
2017-02-14,87.81521428320741
2017-02-15,91.06837839690266
2017-02-16,91.04379498950782
2017-02-17,89.11783465002736
2017-02-20,90.58390307940802
2017-02-21,88.3721274221263
2017-02-22,88.74128182675838
2017-02-23,85.26320905174451
2017-02-24,82.99830095680775
2017-02-27,83.32508391883566
2017-02-28,84.55573971382313
2017-03-01,84.8455431494132
2017-03-02,84.64929832274267
2017-03-03,84.1395339916623
2017-03-06,81.6514909663435
2017-03-07,80.4759639087652
2017-03-08,79.73455692663043
2017-03-09,81.42034037312762
2017-03-10,81.97989073502953
2017-03-13,79.0892139490674
2017-03-14,79.60184487692595
2017-03-15,78.9887796779149
2017-03-16,77.9193948230889
2017-03-17,78.87262374817116
2017-03-20,80.4989764966185
2017-03-21,81.99831842502856
2017-03-22,80.62202991108708
2017-03-23,80.12344332279199
2017-03-24,80.65428265821153
2017-03-27,82.22792050678687
2017-03-28,81.43989048401802
2017-03-29,81.1374895494805
2017-03-30,79.34218470164772
2017-03-31,77.44399176346487
2017-04-03,78.70249662540684
2017-04-04,80.83728615084357
2017-04-05,80.72086409476464
2017-04-06,82.34098494807198
2017-04-07,82.93653427797453
2017-04-10,81.8664543451504
2017-04-11,82.45817788192826
2017-04-12,84.9946517376595
2017-04-13,84.93375130331368
2017-04-14,87.59157240613797
2017-04-17,83.00222054672793
2017-04-18,84.36661520544914
2017-04-19,84.51349253566538
2017-04-20,84.00808942603125
2017-04-21,84.16226237645117
2017-04-24,80.8166964468128
2017-04-25,80.46163332126754
2017-04-26,81.03631053693539
2017-04-27,83.4315721519426
2017-04-28,82.56677016974058
2017-05-01,81.23167605986482
2017-05-02,80.41650474736053
2017-05-03,81.88877352223918
2017-05-04,82.42719402552132
2017-05-05,81.5538610834632
2017-05-08,82.39103990223904
2017-05-09,82.55100630707797
2017-05-10,84.15025868153397
2017-05-11,82.96869969237495
2017-05-12,82.42498564754237
2017-05-15,81.77859546965831
2017-05-16,79.38491153151642
2017-05-17,79.85506117146561
2017-05-18,80.27199286604677
2017-05-19,80.28020221314925
2017-05-22,79.90354816307006
2017-05-23,77.64168527794955
2017-05-24,76.98849304267375
2017-05-25,76.46079155924886
2017-05-26,75.23393645815531
2017-05-29,74.99125327849353
2017-05-30,75.59725888130896
2017-05-31,78.44906855875072
2017-06-01,78.72297789490436
2017-06-02,79.1284805692182
2017-06-05,79.01066472523497
2017-06-06,75.97859694170648
2017-06-07,75.9383072005841
2017-06-08,76.02978280428925
2017-06-09,79.77537806042196
2017-06-12,79.46846468663232
2017-06-13,79.94773477314403
2017-06-14,79.892232225986
2017-06-15,78.02486628240783
2017-06-16,79.80823822814821
2017-06-19,81.0084472402338
2017-06-20,82.29005263518133
2017-06-21,80.79338180476466
2017-06-22,83.0601117319049
2017-06-23,80.73135361376457
2017-06-26,81.6789089649713
2017-06-27,85.25718947801816
2017-06-28,83.56818261488763
2017-06-29,82.62169317325082
2017-06-30,82.78636046346215
2017-07-03,81.95274212373732
2017-07-04,79.41111971799987
2017-07-05,79.52001297001074
2017-07-06,77.83052486813894
2017-07-07,78.56772381713722
2017-07-10,77.12298243101594
2017-07-11,79.51369370876384
2017-07-12,78.26810646109975
2017-07-13,77.76396356035157
2017-07-14,79.02921002529665
2017-07-17,77.08372533377461
2017-07-18,77.43439451624386
2017-07-19,79.45875067072696
2017-07-20,76.90417847987946
2017-07-21,77.1881607840794
2017-07-24,77.58935828222866
2017-07-25,78.80258098046008
2017-07-26,76.85308280920393
2017-07-27,74.82345958057739
2017-07-28,75.60452905334458
2017-07-31,76.05359678046172
2017-08-01,76.43461442519359
2017-08-02,76.96422713141759
2017-08-03,75.91747558888666
2017-08-04,76.27011787657963
2017-08-07,76.71717131827705
2017-08-08,75.62111091591339
2017-08-09,78.44294974094063
2017-08-10,79.18632678095436
2017-08-11,77.29962782045871
2017-08-14,78.31465481229019
2017-08-15,76.7880176411758
2017-08-16,77.99679096992126
2017-08-17,79.80412571381157
2017-08-18,78.49424901571473
2017-08-21,80.00663873140871
2017-08-22,80.6671430213412
2017-08-23,81.99340791130965
2017-08-24,85.10389832631074
2017-08-25,84.68622862081487
2017-08-28,83.40960715812379
2017-08-29,81.92572617539284
2017-08-30,80.58900917504988
2017-08-31,80.46473816770217
2017-09-01,81.01375225428248
2017-09-04,81.4620674516417
2017-09-05,82.80974860419852
2017-09-06,82.83128227215428
2017-09-07,85.23924410089855
2017-09-08,84.78806113267173
2017-09-11,89.40081852443191
2017-09-12,90.51952198471595
2017-09-13,88.96773213926816
2017-09-14,87.06223460091911
2017-09-15,87.9023371330066
2017-09-18,87.50947911115873
2017-09-19,88.75911533762091
2017-09-20,89.5991983956534
2017-09-21,89.46869015177174
2017-09-22,87.95345965608516
2017-09-25,85.28873857085433
2017-09-26,84.5270846305579
2017-09-27,85.97486249786365
2017-09-28,86.3429961021286
2017-09-29,84.1917797318366
2017-10-02,84.48338793909697
2017-10-03,85.13444629252312
2017-10-04,83.62951202387286
2017-10-05,83.8866311357937
2017-10-06,83.98428980165704
2017-10-09,82.06445882710317
2017-10-10,82.65169134914636
2017-10-11,83.57868714088164
2017-10-12,85.38908716109944
2017-10-13,87.18875106653451
2017-10-16,84.78640563503849
2017-10-17,83.1961093500597
2017-10-18,84.05308795825628
